,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,72,NZ,1579921333,60,-46.19,168.86,66.99,8.01
1,hermanus,0,ZA,1579921242,96,-34.42,19.23,64.99,1.32
2,castro,1,BR,1579921137,98,-24.79,-50.01,56.61,4.47
3,nelson bay,100,NZ,1579921333,58,-41.28,173.28,75.99,1.99
4,arraial do cabo,20,BR,1579921333,77,-22.84,-46.65,66.2,3.36
5,punta arenas,0,PH,1579921333,67,8.99,125.34,85.89,5.79
6,busselton,0,AU,1579921334,28,-33.65,115.33,88.0,5.37
7,albany,1,US,1579921170,55,42.6,-73.97,36.0,5.82
8,kapaa,90,US,1579921267,73,22.08,-159.32,78.8,12.75
9,cape town,0,CL,1579921334,31,-36.41,-71.9,75.2,11.41
10,hazorasp,90,UZ,1579921334,100,41.32,61.07,30.2,6.93
11,jamestown,90,US,1579921247,86,42.1,-79.24,44.01,16.11
12,yaan,83,NG,1579921334,11,7.38,8.57,66.76,4.7
13,vaini,40,TO,1579921254,74,-21.2,-175.2,84.2,13.87
14,mancora,64,PE,1579921335,74,-4.11,-81.05,76.62,11.21
15,aksarka,83,RU,1579921335,97,66.56,67.8,-0.11,4.09
16,butaritari,100,KI,1579921335,71,3.07,172.79,84.51,3.96
17,pevek,92,RU,1579921335,96,69.7,170.31,-23.4,2.57
18,khatanga,70,RU,1579921335,90,71.97,102.5,-22.83,7.87
19,tasiilaq,100,GL,1579921249,53,65.61,-37.64,23.0,25.28
20,severo-kurilsk,95,RU,1579921336,90,50.68,156.12,17.17,41.03
21,pisco,90,PE,1579921235,73,-13.7,-76.22,77.0,8.05
22,nikolskoye,90,RU,1579921336,88,59.7,30.79,35.6,11.18
23,ribeira grande,20,ES,1579921336,100,42.75,-8.44,46.99,4.7
24,bluff,73,NZ,1579921243,60,-46.6,168.33,66.99,8.01
25,christchurch,100,NZ,1579921057,51,-43.53,172.63,90.0,9.17
26,nishihara,40,JP,1579921336,69,26.18,127.76,78.8,11.41
27,college,75,US,1579921337,70,64.86,-147.8,-0.4,6.93
28,fairbanks,75,US,1579921337,70,64.84,-147.72,-0.4,6.93
29,laramie,1,US,1579921337,51,41.31,-105.59,39.2,20.8
30,tuktoyaktuk,90,CA,1579921128,77,69.45,-133.04,-2.2,9.17
31,jingdezhen,100,CN,1579921337,93,29.29,117.21,44.38,4.21
32,ternate,41,ID,1579921337,58,0.8,127.4,87.67,5.39
33,watsa,100,CD,1579921337,43,3.04,29.54,59.54,1.07
34,hamilton,90,US,1579921338,86,39.18,-84.53,42.01,8.55
35,wufeng,100,CN,1579921338,99,27.45,104.83,30.31,6.46
36,chokurdakh,9,RU,1579921338,95,70.63,147.92,-35.55,2.53
37,hobart,75,AU,1579921206,40,-42.88,147.33,73.99,19.46
38,tahoua,2,NE,1579921338,12,14.89,5.27,66.2,9.17
39,honningsvag,100,NO,1579921338,68,70.98,25.97,30.38,25.03
40,port elizabeth,100,CD,1579921338,77,-7.03,29.76,74.95,7.61
41,verkhnyaya inta,99,RU,1579921338,88,60.98,40.21,24.62,7.02
42,esperance,40,AU,1579921339,53,-33.87,121.9,77.0,2.24
43,luderitz,0,NA,1579921339,88,-26.65,15.16,66.2,1.12
44,hay river,87,GB,1579921340,94,52.07,-3.13,42.01,3.31
45,kutum,0,SD,1579921308,36,14.2,24.67,38.84,4.99
46,upernavik,100,GL,1579921341,95,72.79,-56.15,-11.85,5.57
47,manta,75,EC,1579921341,78,-0.95,-80.73,80.6,9.17
48,mbanza-ngungu,100,CD,1579921341,93,-5.25,14.87,69.78,2.15
49,port lincoln,100,CD,1579921341,77,-7.03,29.76,74.95,7.61
50,muravlenko,100,RU,1579921078,95,63.79,74.52,-0.31,12.01
51,tiksi,0,RU,1579921176,78,71.69,128.87,-31.7,5.95
52,belyy yar,46,RU,1579921342,91,55.84,32.94,34.14,9.89
53,tura,0,IN,1579921342,49,25.52,90.22,63.63,2.15
54,athabasca,100,CA,1579921342,89,54.72,-113.29,24.66,1.45
55,hilo,90,US,1579921342,69,19.73,-155.09,77.0,9.17
56,port-gentil,57,GA,1579921342,78,-0.72,8.78,82.74,9.22
57,provideniya,51,RU,1579921269,95,64.38,-173.3,-8.07,4.74
58,caravelas,100,BR,1579921263,80,-17.71,-39.25,80.04,28.27
59,east london,90,IS,1579921343,92,65.0,-15.0,24.8,21.92
60,yellowknife,40,CA,1579921343,84,62.46,-114.35,3.2,10.29
61,rikitea,43,PF,1579921128,76,-23.12,-134.97,78.58,13.42
62,ushuaia,75,AR,1579921106,81,-54.8,-68.3,48.2,2.26
63,puerto ayora,75,ES,1579921343,100,36.59,-6.23,53.6,12.75
64,waingapu,57,ID,1579921343,69,-9.66,120.26,83.79,6.85
65,okhotsk,0,RU,1579921280,74,59.38,143.3,-18.06,12.41
66,lorengau,9,PG,1579921344,69,-2.02,147.27,83.79,3.44
67,bossangoa,100,CF,1579921344,20,6.49,17.46,58.62,2.68
68,dikson,100,RU,1579921258,94,73.51,80.55,-3.32,7.02
69,klaksvik,100,FO,1579921344,100,62.23,-6.59,44.6,23.04
70,kodiak,75,US,1579921344,62,57.79,-152.41,19.4,10.29
71,pimentel,47,PE,1579921344,29,-6.84,-79.93,66.2,14.99
72,cayenne,90,GF,1579921077,78,4.93,-52.33,78.8,3.36
73,kostomuksha,100,RU,1579921345,96,64.57,30.58,25.07,3.44
74,emba,100,KZ,1579921345,99,48.83,58.14,2.19,9.37
75,eyl,100,SO,1579921345,82,7.98,49.82,79.11,19.8
76,pandamatenga,0,BW,1579921345,76,-18.53,25.63,65.82,6.2
77,carnarvon,0,AU,1579921255,66,-24.87,113.63,84.2,19.46
78,tucuru,43,GT,1579921345,83,15.3,-90.07,62.28,2.89
79,luwuk,39,ID,1579921345,68,-0.95,122.79,82.44,2.73
80,davila,75,PH,1579921345,66,18.47,120.58,84.2,3.36
81,bethel,1,US,1579921346,59,41.37,-73.41,39.99,5.82
82,ginir,100,ET,1579921346,57,7.13,40.7,62.91,3.11
83,broome,90,US,1579921346,35,42.25,-75.83,42.01,6.93
84,port alfred,100,CD,1579921346,77,-7.03,29.76,74.95,7.61
85,podyuga,98,RU,1579921346,90,61.09,40.86,24.15,8.5
86,mwene-ditu,47,CD,1579921346,94,-7.0,23.45,66.09,2.04
87,acheng,94,CN,1579921346,59,45.55,126.98,-0.4,8.95
88,touros,75,BR,1579921310,88,-5.2,-35.46,78.8,8.05
89,geraldton,0,AU,1579921135,48,-28.77,114.6,82.4,17.22
90,morehead,90,US,1579921347,100,37.27,-87.18,37.99,5.82
91,dillon,90,US,1579921347,93,34.42,-79.37,63.0,8.05
92,bairiki,20,KI,1579921055,79,1.33,172.98,86.0,9.17
93,rawson,100,AR,1579921347,47,-43.3,-65.1,70.02,30.87
94,egvekinot,85,RU,1579921347,98,66.32,-179.17,-10.03,1.86
95,new norfolk,1,LR,1579921329,98,6.65,-10.59,73.15,2.01
96,katsuura,75,JP,1579921348,36,35.13,140.3,53.01,4.7
97,ahipara,0,NZ,1579921348,76,-35.17,173.17,69.03,15.28
98,najran,5,SA,1579921313,61,17.49,44.13,48.2,1.9
99,balkanabat,99,TM,1579921348,71,39.51,54.37,31.41,1.16
100,rassvet,100,RU,1579921348,77,46.83,40.75,35.11,23.38
101,komsomolskiy,90,UZ,1579921348,65,40.43,71.72,33.8,4.7
102,puerto escondido,75,ES,1579921348,100,36.59,-6.23,53.6,12.75
103,tommot,100,RU,1579921348,95,58.96,126.29,-19.71,2.66
104,ponta do sol,100,PT,1579921348,87,38.73,-28.27,57.09,15.19
105,camacha,40,PT,1579921349,63,33.08,-16.33,60.8,13.87
106,impfondo,98,CG,1579921349,29,1.64,18.07,65.41,2.33
107,mar del plata,37,ES,1579921349,100,43.4,-4.01,51.01,3.36
108,mount gambier,75,GB,1579921349,100,53.66,-1.85,44.01,6.93
109,nizhniy kuranakh,75,RU,1579921349,80,45.39,39.24,39.2,15.66
110,barrow,1,US,1579921252,75,71.29,-156.79,-20.2,9.17
111,gwadar,30,PK,1579921349,71,25.12,62.33,70.36,9.24
112,colac,6,AU,1579921349,81,-38.33,143.58,81.0,3.0
113,bredasdorp,26,ZA,1579921350,94,-34.53,20.04,68.0,1.3
114,saldanha,18,ZA,1579921253,82,-33.01,17.94,66.2,12.75
115,qaanaaq,3,GL,1579921140,47,77.48,-69.36,-7.33,8.75
116,srednekolymsk,97,RU,1579921350,95,67.45,153.68,-35.77,5.21
117,kichera,100,RU,1579921350,94,55.94,110.1,6.8,2.8
118,leningradskiy,4,RU,1579921350,80,69.38,178.42,-23.69,1.54
119,didao,0,CN,1579921350,59,45.37,130.8,7.72,2.98
120,konevo,100,RU,1579921351,90,62.12,39.32,24.84,8.25
121,atuona,0,PF,1579921351,77,-9.8,-139.03,80.96,12.8
122,bengkulu,100,ID,1579921351,93,-3.8,102.27,75.9,3.49
123,lavrentiya,0,RU,1579921351,80,65.58,-171.0,-15.86,3.11
124,kuching,40,MY,1579921213,74,1.55,110.33,86.0,2.24
125,iqaluit,5,CA,1579921265,66,63.75,-68.51,-29.0,6.13
126,lumeje,100,AO,1579921352,89,-11.55,20.78,67.77,7.63
127,ancud,20,CL,1579921352,82,-41.87,-73.82,59.0,8.05
128,chuy,0,UY,1579921352,87,-33.7,-53.46,70.02,11.23
129,sangar,0,RU,1579921267,93,63.92,127.47,-38.07,4.45
130,paamiut,100,GL,1579921352,72,61.99,-49.67,14.85,18.72
131,thompson,20,CA,1579921352,85,55.74,-97.86,14.0,6.93
132,airai,100,TL,1579921352,64,-8.93,125.41,81.54,3.91
133,guarapari,75,BR,1579921352,94,-20.67,-40.5,75.2,3.36
134,jardim,0,BR,1579921352,95,-21.48,-56.14,70.45,2.42
135,lagoa,100,PT,1579921353,81,39.05,-27.98,61.0,19.91
136,kenai,1,US,1579921353,71,60.55,-151.26,15.01,15.75
137,bonnyville,75,CA,1579921341,85,54.27,-110.73,19.4,3.36
138,bambous virieux,75,MU,1579921353,100,-20.26,57.41,80.01,18.34
139,cabo san lucas,90,BR,1579921353,78,-8.28,-35.03,82.4,3.36
140,saskylakh,100,RU,1579921353,91,71.92,114.08,-26.66,23.29
141,saint-philippe,100,RE,1579921244,100,-21.36,55.77,77.0,25.28
142,faya,0,SA,1579921354,93,18.39,42.45,50.0,5.82
143,shu,100,KZ,1579921354,77,43.6,73.76,28.0,1.99
144,taunggyi,7,MM,1579921354,46,20.78,97.03,64.67,1.28
145,gat,75,IL,1579921200,81,31.61,34.76,44.6,4.7
146,neryungri,22,RU,1579921354,91,56.67,124.65,-9.49,3.0
147,torbay,5,CA,1579921354,72,47.67,-52.73,18.0,5.82
148,palana,100,RU,1579921354,93,59.12,159.97,8.29,12.08
149,luanda,40,AO,1579921266,78,-8.84,13.23,80.6,6.93
150,kaitangata,60,NZ,1579921355,90,-46.28,169.85,58.19,15.26
151,tripoli,100,LY,1579921355,50,32.88,13.19,64.87,7.54
152,veraval,50,IN,1579921355,38,20.9,70.37,67.24,9.44
153,zhangjiakou,0,CN,1579921355,77,40.81,114.88,16.7,3.76
154,beira,20,MZ,1579921203,69,-19.84,34.84,80.6,6.93
155,palmer,90,US,1579921355,86,42.16,-72.33,36.0,3.36
156,souillac,75,MU,1579921355,100,-20.52,57.52,80.01,18.34
157,kadhan,0,PK,1579921356,34,24.48,68.99,63.9,0.67
158,lebu,0,CL,1579921125,63,-37.62,-73.65,58.15,8.08
159,yakeshi,78,CN,1579921356,97,49.28,120.73,-10.97,4.45
160,nalut,100,LY,1579921356,23,30.33,10.85,54.64,9.31
161,hovd,90,MN,1579921064,53,48.01,91.64,5.05,2.73
162,tual,47,ID,1579921356,70,-5.67,132.75,84.72,10.25
163,salalah,20,OM,1579921356,73,17.02,54.09,73.4,3.27
164,kyshtovka,100,RU,1579921356,94,56.55,76.63,16.09,10.47
165,mackenzie,90,CA,1579921283,93,55.3,-123.17,35.6,4.7
166,clyde river,90,US,1579921357,100,41.3,-82.98,44.6,6.93
167,san quintin,69,ML,1579921202,10,13.3,-4.9,71.01,9.28
168,shimoda,75,JP,1579921357,53,34.67,138.95,54.0,17.22
169,kahului,75,US,1579921294,61,20.89,-156.47,80.6,5.82
170,takoradi,55,GH,1579921357,92,4.88,-1.76,77.13,2.89
171,roccapiemonte,87,IT,1579921358,93,40.76,14.69,54.0,2.24
172,sao filipe,62,IN,1579921358,47,20.51,76.21,71.06,1.36
173,medea,20,DZ,1579921358,93,36.26,2.75,41.0,8.88
174,dehu,41,IN,1579921358,43,18.72,73.77,71.69,4.61
175,mishkino,90,RU,1579921358,89,55.34,63.92,5.41,10.47
176,deputatskiy,1,RU,1579921358,96,69.3,139.9,-37.97,0.09
177,tabas,0,IR,1579921359,48,33.6,56.92,37.4,4.7
178,sinnamary,36,GF,1579921359,84,5.38,-52.95,79.25,15.39
179,panaba,86,MX,1579921359,70,21.28,-88.27,70.65,6.46
180,vallenar,0,CL,1579921237,73,-28.57,-70.76,67.46,0.74
181,yurino,75,RU,1579921359,92,56.29,46.3,28.4,15.66
182,tazovskiy,96,RU,1579921360,96,67.47,78.7,3.07,2.15
183,khani,75,GE,1579921360,72,41.96,42.96,32.0,5.82
184,kununurra,91,AU,1579921289,70,-15.77,128.73,91.4,5.82
185,cidreira,0,BR,1579921360,70,-30.18,-50.21,72.99,2.13
186,dicabisagan,100,PH,1579921360,92,17.08,122.42,74.23,4.76
187,trairi,100,BR,1579921360,84,-3.28,-39.27,76.87,3.06
188,sandwick,75,GB,1579921360,87,60.0,-1.25,46.4,23.04
189,biak,39,ID,1579921361,68,-0.91,122.88,82.44,2.73
190,ngaoundere,0,CM,1579921361,18,7.32,13.58,56.93,4.92
191,adre,0,TD,1579921361,22,13.47,22.2,50.7,17.9
192,eureka,90,US,1579921361,87,40.8,-124.16,57.0,4.79
193,guerrero negro,65,MX,1579921361,98,17.67,-100.0,55.17,2.04
194,diamantino,20,BR,1579921361,82,-14.41,-56.45,73.24,3.78
195,alice town,1,US,1579921361,76,27.75,-98.07,59.0,6.64
196,kitimat,75,CA,1579921361,100,54.05,-128.65,37.99,6.93
197,sao jose da coroa grande,62,IN,1579921358,47,20.51,76.21,71.06,1.36
198,mezen,100,RU,1579921362,95,65.85,44.24,1.99,7.11
199,dunedin,78,NZ,1579921362,87,-45.87,170.5,61.0,11.01
200,kochki,100,RU,1579921362,95,54.34,80.48,26.69,18.72
201,gardez,100,AF,1579921362,93,33.6,69.23,24.51,2.62
202,vostok,11,RU,1579921290,83,46.49,135.88,-1.39,7.63
203,candolim,20,IN,1579921362,78,15.52,73.76,73.4,2.24
204,rutland,1,US,1579921362,55,43.62,-73.02,36.0,16.11
205,uige,100,AO,1579921362,98,-7.61,15.06,67.05,2.8
206,zyryanka,100,RU,1579921362,95,65.75,150.85,-25.37,6.91
207,bahia blanca,100,BR,1579921363,95,-12.0,-42.0,64.63,1.88
208,bani,30,DO,1579921363,93,18.28,-70.33,63.5,3.13
209,bonthe,0,SL,1579921363,89,7.53,-12.51,75.78,2.77
210,longyearbyen,20,SJ,1579921260,49,78.22,15.64,1.4,18.34
211,tomari,100,RU,1579921363,86,47.77,142.07,6.21,23.31
212,codrington,68,AU,1579921363,83,-38.27,141.97,63.77,16.51
213,vardo,100,NO,1579921364,64,70.37,31.11,27.16,9.44
214,coihaique,98,CL,1579921364,48,-45.58,-72.07,62.6,12.75
215,novikovo,100,RU,1579921364,95,51.15,37.89,31.8,13.49
216,faanui,6,PF,1579921364,77,-16.48,-151.75,82.33,12.59
217,poso,71,ID,1579921364,68,-1.4,120.75,77.38,4.45
218,west plains,5,US,1579921364,61,31.8,-97.09,52.0,6.93
219,shelburne,90,CA,1579921364,93,44.08,-80.2,37.4,20.8
220,margate,75,GB,1579921364,93,51.38,1.39,43.0,8.05
221,hualmay,100,PE,1579921275,67,-11.1,-77.61,73.6,3.24
222,ladozhskaya,75,RU,1579921365,80,45.31,39.94,39.2,15.66
223,neiafu,75,TO,1579921365,88,-18.65,-173.98,80.6,9.17
224,pyapon,35,MM,1579921365,48,16.28,95.68,74.91,11.56
225,mantua,75,IT,1579921365,80,45.17,10.78,45.0,3.89
226,sabang,53,ID,1579921365,76,5.89,95.32,82.6,16.4
227,goundi,0,TD,1579921365,17,9.36,17.37,58.15,4.7
228,avarua,80,CK,1579921136,83,-21.21,-159.78,82.4,9.17
229,arman,97,RU,1579921366,79,59.7,150.17,-10.95,14.0
230,bilibino,100,RU,1579921366,76,68.05,166.44,-14.42,2.84
231,laguna,90,US,1579921255,86,38.42,-121.42,60.01,5.82
232,soe,75,ID,1579921291,57,-9.86,124.28,87.42,5.03
233,kailua,40,US,1579921366,65,21.4,-157.74,80.6,5.82
234,aykhal,90,RU,1579921267,74,66.0,111.5,-22.0,8.95
235,kazanskaya,98,RU,1579921366,58,45.41,40.44,33.01,22.68
236,mehamn,100,NO,1579921366,79,71.04,27.85,25.52,21.7
237,balkhash,100,KZ,1579921366,92,46.84,74.98,24.78,15.35
238,yumen,0,CN,1579921270,54,40.28,97.2,22.06,11.41
239,boguchany,100,RU,1579921367,94,58.38,97.45,25.11,5.61
240,asau,35,RO,1579921367,79,46.43,26.4,23.0,5.82
241,buloh kasap,12,ID,1579921367,76,5.25,96.14,74.53,3.85
242,saint-pierre,100,RE,1579921252,100,-21.34,55.48,77.0,25.28
243,shimanovsk,0,RU,1579921368,89,52.0,127.7,-6.47,6.71
244,jibuti,1,DJ,1579921368,78,11.5,42.5,78.8,3.36
245,rengasdengklok,40,ID,1579921368,100,-6.16,107.3,86.0,3.36
246,kodinsk,100,RU,1579921368,94,58.69,99.18,26.96,7.72
247,qasigiannguit,100,GL,1579921306,51,68.82,-51.19,12.2,17.22
248,rocha,0,UY,1579921250,49,-34.48,-54.33,70.83,7.9
249,kavaratti,100,IN,1579921368,75,10.57,72.64,81.55,7.83
250,zlobin,20,HR,1579921369,81,45.29,14.65,55.0,2.24
251,baruun-urt,0,MN,1579921369,87,46.68,113.28,4.1,8.05
252,simbahan,0,PH,1579921369,77,6.3,120.58,82.44,5.64
253,lompoc,1,US,1579921130,55,34.64,-120.46,62.6,6.93
254,hirara,75,JP,1579921369,83,24.8,125.28,77.0,10.29
255,nome,1,US,1579921172,63,64.5,-165.41,-4.0,3.36
256,wanning,61,CN,1579921369,69,18.8,110.4,75.92,4.65
257,maragogi,100,BR,1579921231,79,-9.01,-35.22,81.25,11.27
258,menongue,100,AO,1579921370,84,-14.66,17.69,62.17,2.04
259,tsementnyy,81,RU,1579921370,91,57.47,60.14,5.09,8.34
260,kidal,64,ML,1579921370,14,18.44,1.41,66.69,5.64
261,san patricio,69,ML,1579921312,10,13.3,-4.9,71.01,9.28
262,talara,59,PE,1579921370,89,-4.58,-81.27,73.87,11.14
263,hithadhoo,79,MV,1579921370,78,-0.6,73.08,83.28,14.74
264,markha,90,RU,1579921370,56,62.11,129.73,-49.0,4.47
265,sechura,100,PE,1579921370,84,-5.56,-80.82,73.9,8.43
266,harnai,29,PK,1579921370,69,30.1,67.94,51.44,1.23
267,kiunga,100,PG,1579921371,93,-6.12,141.29,80.92,2.28
268,kavieng,7,PG,1579921269,68,-2.57,150.8,84.27,11.32
269,sayyan,14,YE,1579921371,89,15.17,44.32,49.12,1.54
270,muros,20,ES,1579921259,100,42.78,-9.06,46.99,4.7
271,mahebourg,75,MU,1579921371,100,-20.41,57.7,80.01,18.34
272,ust-nera,55,RU,1579921372,98,64.57,143.2,-42.92,1.7
273,bilwang,1,PH,1579921372,89,10.88,124.47,81.0,6.87
