,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
274,berdigestyakh,17,RU,1579921372,94,62.1,126.7,-30.48,5.84
275,new london,1,LR,1579921372,98,6.65,-10.59,73.15,2.01
276,issia,0,CI,1579921372,76,6.49,-6.59,67.5,1.39
277,belmonte,40,BR,1579921372,83,-15.86,-38.88,78.8,8.05
278,panama city,20,PA,1579921372,83,9.0,-80.0,80.01,9.17
279,cherskiy,100,RU,1579921259,93,68.75,161.3,-30.15,3.02
280,beterou,0,BJ,1579921372,11,9.2,2.26,71.15,8.32
281,esil,100,KZ,1579921373,94,51.96,66.4,8.49,12.03
282,eydhafushi,61,MV,1579921373,78,5.1,73.07,82.62,18.61
283,knyaginino,46,RU,1579921373,93,55.82,45.03,27.61,12.21
284,grindavik,90,IS,1579921373,94,63.84,-22.43,32.0,27.51
285,ushtobe,100,KZ,1579921373,98,45.25,77.98,34.95,8.75
286,cairns,75,AU,1579921166,88,-16.92,145.77,84.99,6.93
287,castelo do piaui,100,BR,1579921373,98,-20.6,-41.18,65.46,9.48
288,ondangwa,94,NA,1579921374,61,-17.92,15.95,78.8,3.36
289,cody,90,US,1579921374,51,44.53,-109.06,37.99,8.05
290,espanola,1,US,1579921339,74,35.99,-106.08,35.01,8.05
291,tias,0,ES,1579921374,72,28.96,-13.64,60.8,5.82
292,bulungu,100,CD,1579921374,76,-4.55,18.6,73.65,1.28
293,evensk,100,RU,1579921374,94,61.95,159.23,5.83,18.61
294,mahibadhoo,100,MV,1579921375,79,3.78,72.97,82.35,18.21
295,krasnoselkup,100,RU,1579921285,93,65.7,82.47,9.46,14.72
296,hastings,32,GB,1579921375,93,50.86,0.57,42.01,9.17
297,jalu,0,LY,1579921375,66,29.03,21.55,51.26,4.97
298,constitucion,0,CL,1579921260,63,-35.33,-72.42,57.33,5.99
299,champerico,0,GT,1579921375,81,14.3,-91.92,74.91,3.74
300,sitka,90,US,1579921375,74,57.05,-135.33,33.8,6.93
301,sheboygan,90,US,1579921375,100,43.73,-87.93,34.0,6.89
302,nchelenge,100,ZM,1579921375,89,-9.35,28.73,69.49,5.86
303,liuzhou,100,CN,1579921376,86,24.31,109.39,48.85,15.17
304,puerto lleras,75,ES,1579921376,100,36.59,-6.23,53.6,12.75
305,koutiala,0,ML,1579921376,11,12.39,-5.46,68.97,9.8
306,ust-maya,32,RU,1579921376,95,60.42,134.53,-34.08,2.28
307,kangaatsiaq,100,GL,1579921376,77,68.31,-53.46,17.85,14.94
308,edirne,0,TR,1579921376,28,41.68,26.56,25.0,48.99
309,hasaki,75,JP,1579921376,65,35.73,140.83,50.0,8.05
310,port-cartier,5,CA,1579921377,83,50.03,-66.87,-5.8,3.36
311,huarmey,100,PE,1579921377,65,-10.07,-78.15,74.5,2.19
312,changde,100,CN,1579921377,83,29.05,111.68,41.79,12.55
313,derzhavinsk,95,KZ,1579921248,93,51.1,66.32,5.34,17.45
314,grootfontein,74,NA,1579921377,74,-19.57,18.12,67.03,1.41
315,husavik,90,IS,1579921377,74,66.04,-17.34,28.4,28.86
316,svetlogorsk,100,BY,1579921283,97,52.63,29.73,34.2,13.2
317,sorland,0,NO,1579921125,59,67.67,12.69,36.68,17.4
318,matagami,40,CA,1579921377,92,49.75,-77.63,6.8,2.24
319,alofi,90,NU,1579921378,94,-19.06,-169.92,80.6,8.05
320,abu dhabi,0,IN,1579921378,34,24.6,72.7,60.93,6.13
321,macau,40,MO,1579921114,78,22.2,113.55,75.99,10.29
322,barcelos,87,PT,1579921378,81,41.54,-8.62,46.99,3.36
323,nouadhibou,99,MR,1579921378,63,20.93,-17.03,64.4,16.11
324,victoria,40,HK,1579921281,73,22.29,114.16,73.99,8.05
325,piombino,75,IT,1579921378,87,42.93,10.52,55.0,9.17
326,along,0,IN,1579921379,65,28.17,94.77,49.55,3.65
327,padang,14,ID,1579921227,63,-0.95,100.35,82.47,1.19
328,ixtapa,90,MX,1579921379,78,20.7,-105.2,77.0,3.36
329,rudbar,6,AF,1579921379,92,30.15,62.6,49.41,1.1
330,aswan,0,EG,1579921379,75,24.09,32.91,45.59,8.03
331,manyana,48,BW,1579921379,77,-23.4,21.72,66.87,1.63
332,pizarro,68,CO,1579921379,80,4.95,-77.37,81.41,3.44
333,bernalillo,1,US,1579921379,52,35.05,-106.67,43.0,3.78
334,paramonga,100,PE,1579921380,81,-10.67,-77.83,72.64,8.84
335,port macquarie,100,CD,1579921346,77,-7.03,29.76,74.95,7.61
336,makurdi,83,NG,1579921380,11,7.74,8.51,66.76,4.7
337,riyadh,0,SA,1579921210,43,24.69,46.72,50.0,4.7
338,mirnyy,100,RU,1579921380,82,62.54,113.96,-25.6,4.47
339,dingle,35,PH,1579921380,71,11.0,122.67,84.49,7.02
340,giyani,1,ZA,1579921380,91,-23.3,30.72,67.03,1.88
341,georgetown,20,MY,1579921371,51,5.41,100.34,86.0,8.05
342,samarai,99,PG,1579921346,62,-10.62,150.67,88.02,5.66
343,shitanjing,0,CN,1579921381,46,39.23,106.34,28.9,2.06
344,ostersund,98,SE,1579921205,79,63.18,14.64,28.99,21.92
345,dryden,90,CA,1579921356,85,49.78,-92.75,19.4,4.7
346,olinda,90,BR,1579921381,78,-8.01,-34.86,82.4,3.36
347,canaries,20,ES,1579921381,58,28.0,-15.5,57.99,5.82
348,cabedelo,75,BR,1579921381,94,-6.98,-34.83,78.8,5.82
349,gibara,0,CU,1579921381,82,21.11,-76.13,68.0,6.93
350,norman wells,1,US,1579921209,69,35.22,-97.44,42.01,6.93
351,batagay-alyta,0,RU,1579921131,55,67.8,130.41,-33.56,3.58
352,daru,98,PG,1579921382,51,-9.08,143.21,92.08,5.23
353,mersin,0,TR,1579921382,59,36.86,34.65,33.8,3.36
354,salekhard,99,RU,1579921382,97,66.53,66.6,0.82,2.55
355,nanortalik,100,GL,1579921382,75,60.14,-45.24,20.73,31.65
356,mys shmidta,100,RU,1579921382,97,62.06,48.62,4.1,3.83
357,shingu,75,JP,1579921382,53,33.73,135.98,51.8,5.82
358,tampakan,75,PH,1579921383,88,6.44,124.93,78.8,2.24
359,bowen,90,AU,1579921383,88,-20.02,148.23,86.0,5.82
360,papar,75,MY,1579921383,74,5.73,115.93,90.0,4.7
361,edd,97,ER,1579921383,71,13.93,41.69,72.7,9.28
362,basco,100,PH,1579921383,80,20.45,121.97,77.22,20.98
363,bam,0,IR,1579921383,70,29.11,58.36,47.79,1.19
364,nabire,41,ID,1579921383,53,-3.37,135.48,89.35,4.74
365,seymchan,88,RU,1579921383,90,62.88,152.43,-28.75,4.94
366,port blair,100,CD,1579921383,77,-7.03,29.76,74.95,7.61
367,opuwo,15,NA,1579921266,48,-18.06,13.84,66.0,3.0
368,tarauaca,100,BR,1579921384,98,-8.16,-70.77,71.8,1.05
369,xai-xai,0,MZ,1579921384,87,-25.05,33.64,68.09,3.29
370,limoges,0,FR,1579921384,86,45.75,1.33,44.01,3.36
371,flinders,40,AU,1579921384,54,-34.58,150.86,87.01,14.99
372,glendive,1,US,1579921239,92,47.11,-104.71,33.01,5.82
373,richards bay,90,US,1579921384,92,46.84,-95.91,26.6,4.7
374,hun,65,LY,1579921384,44,29.13,15.95,52.47,5.93
375,pacific grove,90,US,1579921385,100,38.48,-90.74,35.6,6.93
376,murgab,90,TM,1579921385,86,37.5,61.97,39.2,6.93
377,korla,100,CN,1579921385,68,41.76,86.15,15.03,2.17
378,plouzane,90,FR,1579921385,93,48.38,-4.62,42.8,4.7
379,mamallapuram,20,IN,1579921385,94,12.63,80.17,73.99,5.84
380,rio gallegos,75,GR,1579921385,93,38.3,21.78,50.0,3.36
381,muscat,20,OM,1579921202,88,23.61,58.59,69.8,2.24
382,bubaque,98,GW,1579921385,69,11.28,-15.83,78.24,10.85
383,tecpan,20,GT,1579921385,68,14.76,-90.99,64.4,13.87
384,fortuna,90,US,1579921386,87,40.6,-124.16,57.0,4.85
385,suluq,0,LY,1579921386,73,31.67,20.25,49.82,5.08
386,isangel,24,VU,1579921386,80,-19.55,169.27,79.27,12.53
387,kurchum,100,KZ,1579921386,71,48.57,83.65,25.11,18.7
388,kokoda,100,PG,1579921386,77,-8.88,147.74,71.51,6.15
389,pangody,95,RU,1579921386,97,65.85,74.49,0.93,4.07
390,comodoro rivadavia,66,BR,1579921387,71,-13.66,-59.79,74.03,2.57
391,lensk,100,RU,1579921387,95,60.73,114.93,5.43,3.22
392,murray bridge,90,US,1579921387,100,40.67,-111.89,39.99,4.7
393,francistown,68,BW,1579921387,79,-21.17,27.51,66.65,6.49
394,roanoke rapids,90,US,1579921238,100,37.27,-79.94,48.2,2.82
395,vila franca do campo,97,PT,1579921388,93,42.03,-8.16,46.99,6.93
396,olafsvik,100,IS,1579921388,89,64.89,-23.71,29.14,37.67
397,huntington,1,US,1579921347,93,38.42,-82.45,46.0,3.36
398,parana,30,AR,1579921351,74,-31.73,-60.52,81.0,6.64
399,oranjemund,5,NA,1579921388,93,-28.55,16.43,62.46,1.12
400,sao mateus,62,IN,1579921388,47,20.51,76.21,71.06,1.36
401,kungurtug,51,RU,1579921388,71,50.6,97.52,8.2,4.0
402,ampanihy,0,MG,1579921388,82,-24.7,44.75,67.55,12.95
403,tabou,2,CI,1579921389,96,4.42,-7.35,75.69,1.5
404,benghazi,0,LY,1579921389,69,32.12,20.07,55.74,9.1
405,fukue,75,JP,1579921389,67,32.69,128.84,57.2,17.22
406,juneau,90,US,1579921202,92,58.3,-134.42,32.0,3.36
407,powell river,75,US,1579921297,93,40.16,-83.08,42.8,5.82
408,thinadhoo,100,MV,1579921389,82,0.53,72.93,82.11,17.45
409,sao joao da barra,62,IN,1579921389,47,20.51,76.21,71.06,1.36
410,plettenberg bay,15,DE,1579921390,68,51.22,7.88,34.0,4.7
411,prado,100,BR,1579921390,80,-17.34,-39.22,80.04,28.27
412,jiuquan,93,CN,1579921390,39,39.74,98.52,21.99,3.11
413,rio grande,75,GR,1579921390,93,38.3,21.78,50.0,3.36
414,longonjo,100,AO,1579921390,94,-12.91,15.25,61.65,1.92
415,ojinaga,1,MX,1579921390,46,29.57,-104.42,59.0,4.7
416,floresta,91,BR,1579921390,74,-8.6,-38.57,77.31,8.37
417,barra,100,BR,1579921391,79,-11.09,-43.14,76.53,8.12
418,pervomayskiy,100,RU,1579921391,97,53.25,40.29,34.56,14.76
419,antalaha,100,MG,1579921391,80,-14.9,50.28,80.76,13.42
420,acajutla,1,SV,1579921391,97,13.59,-89.83,70.0,6.71
421,taoudenni,89,ML,1579921391,20,22.68,-3.98,72.52,5.88
422,kargasok,100,RU,1579921391,95,59.06,80.86,19.22,8.34
423,trat,20,TH,1579921391,69,12.5,102.5,84.0,3.36
424,mushie,100,CD,1579921392,83,-3.02,16.9,72.95,2.66
425,tanete,0,ID,1579921392,76,-3.94,119.78,86.54,2.57
426,lusambo,98,CD,1579921392,86,-4.97,23.45,72.28,0.25
427,saint-nazaire,90,FR,1579921148,100,47.28,-2.2,42.8,10.29
428,lasa,90,IT,1579921177,85,46.62,10.7,34.0,2.24
429,londoko,0,RU,1579921392,74,49.03,131.98,-1.37,4.85
430,chake chake,26,CN,1579921392,82,23.86,103.05,46.2,8.93
431,alvarado,90,MX,1579921393,88,18.77,-95.77,73.4,4.7
432,san andres,69,ML,1579921202,10,13.3,-4.9,71.01,9.28
433,narsaq,100,GL,1579921393,79,60.92,-46.05,19.4,6.93
434,jalingo,0,NG,1579921393,16,8.88,11.37,62.74,7.25
435,waitati,78,NZ,1579921393,86,-45.75,170.57,61.0,11.99
436,mato verde,50,PT,1579921393,81,41.1,-8.13,50.0,3.36
437,yorosso,0,ML,1579921393,10,12.35,-4.78,70.38,9.84
438,miraflores,40,MX,1579921394,54,19.22,-98.81,59.0,10.29
439,roald,100,NO,1579921394,86,62.58,6.13,39.2,11.41
440,umuarama,0,BR,1579921228,76,-23.77,-53.33,69.22,4.32
441,valleyview,0,CA,1579921394,92,55.07,-117.29,26.89,3.24
442,bemidji,90,US,1579921394,85,47.47,-94.88,25.0,4.7
443,kattivakkam,20,IN,1579921394,94,13.22,80.32,73.99,5.17
444,saint-georges,75,GD,1579921194,94,12.06,-61.75,75.2,11.41
445,rock springs,90,US,1579921395,99,42.67,-89.07,34.0,6.93
446,maracacume,78,BR,1579921395,98,-2.04,-45.96,74.55,1.7
447,namibe,72,AO,1579921395,75,-15.2,12.15,74.1,7.47
448,denpasar,20,ID,1579921395,74,-8.65,115.22,87.8,6.93
449,acarau,84,BR,1579921395,88,-2.89,-40.12,76.77,4.56
450,arica,90,CL,1579921395,83,-18.48,-70.3,75.2,2.24
451,sungaipenuh,99,ID,1579921138,95,-2.08,101.38,66.34,1.79
452,alice springs,1,US,1579921396,76,27.75,-98.07,59.0,6.64
453,hobyo,100,SO,1579921396,84,5.35,48.53,77.68,12.06
454,farmington,1,US,1579921213,69,36.73,-108.22,35.6,6.93
455,hambantota,5,LK,1579921396,100,6.12,81.12,77.0,9.17
456,yinchuan,0,CN,1579921396,62,38.47,106.27,30.99,4.23
457,yuksekova,20,TR,1579921396,92,37.57,44.29,12.2,4.7
458,beringovskiy,100,RU,1579921396,96,63.05,179.32,11.68,9.24
459,labuhan,86,ID,1579921396,69,-6.88,112.21,85.86,3.78
460,leshukonskoye,100,RU,1579921397,96,64.9,45.76,3.18,4.43
461,galle,100,LK,1579921397,81,6.04,80.22,79.39,4.88
462,aguada de pasajeros,40,PR,1579921397,82,18.38,-67.19,78.01,5.82
463,port hardy,100,CD,1579921338,77,-7.03,29.76,74.95,7.61
464,nenjiang,0,CN,1579921397,90,49.18,125.22,-4.92,6.62
465,talcahuano,0,CL,1579921397,52,-36.72,-73.12,64.4,11.41
466,turayf,0,SA,1579921261,100,31.67,38.66,30.2,18.34
467,luganville,75,VU,1579921398,79,-15.53,167.17,84.2,9.17
468,gizo,84,SB,1579921398,71,-8.1,156.84,83.41,8.84
469,kilindoni,100,TZ,1579921398,77,-7.91,39.67,82.31,8.57
470,zhigansk,56,RU,1579921301,95,66.77,123.37,-42.63,10.69
471,camacupa,100,AO,1579921398,98,-12.02,17.48,62.69,1.86
472,porto walter,54,PT,1579921342,81,41.15,-8.61,50.0,3.36
473,crossfield,90,CA,1579921101,48,51.43,-114.04,44.6,9.17
474,yerbogachen,98,RU,1579921246,94,61.28,108.01,8.26,6.42
475,cedar city,90,US,1579921398,95,41.21,-92.53,32.0,18.34
476,bandraboua,67,YT,1579921399,94,-12.7,45.12,78.8,3.36
477,pangkalanbuun,100,ID,1579921399,77,-2.68,111.62,86.13,1.01
478,senador pompeu,35,HT,1579921399,85,18.82,-71.9,66.99,3.69
479,karratha,9,AU,1579921399,78,-20.74,116.85,84.27,11.56
480,petropavlovsk-kamchatskiy,100,RU,1579921399,62,53.05,158.65,21.2,4.47
481,grand river south east,90,US,1579921400,92,38.88,-109.5,33.01,4.7
482,vestmannaeyjar,100,IS,1579921384,82,63.44,-20.27,39.34,35.28
483,charters towers,90,US,1579921400,93,38.57,-83.43,41.0,4.7
484,haines junction,40,US,1579921400,79,59.23,-135.44,30.2,14.99
485,abeche,0,TD,1579921400,17,13.83,20.83,57.38,22.48
486,ojhar,72,IN,1579921400,48,20.1,73.93,69.91,1.66
487,palmeiras de goias,0,BR,1579921400,73,-21.13,-47.75,73.4,13.87
488,rusne,90,LT,1579921401,93,55.3,21.38,42.8,17.9
489,lodja,84,CD,1579921401,67,-3.48,23.43,67.87,0.69
490,acapulco,40,MX,1579921145,69,16.86,-99.89,80.6,2.24
491,antofagasta,75,CL,1579921401,78,-23.65,-70.4,73.4,1.12
492,aripuana,99,BR,1579921401,94,-9.17,-60.63,73.4,0.43
493,goderich,100,CA,1579921140,95,43.75,-81.72,37.99,1.01
494,garden city,90,DE,1579921401,100,53.69,12.05,39.0,10.29
495,lipari,40,IT,1579921402,76,38.47,14.95,57.99,6.93
496,vaasa,16,FI,1579921402,69,63.08,21.67,32.0,6.93
497,ketchikan,40,US,1579921400,100,55.34,-131.65,39.2,8.05
498,sisimiut,100,GL,1579921402,93,66.94,-53.67,2.28,3.47
499,tilichiki,100,RU,1579921402,88,60.47,166.1,27.88,25.9
500,vila,97,PT,1579921402,93,42.03,-8.16,46.99,6.93
501,saint-francois,7,FR,1579921402,94,46.42,3.91,35.01,3.36
502,namatanai,0,PG,1579921402,71,-3.67,152.43,85.77,16.33
503,staszow,65,PL,1579921402,91,50.56,21.17,30.0,1.99
504,pilot butte,1,US,1579921403,89,40.82,-114.23,35.6,8.05
505,bathsheba,20,BB,1579921263,78,13.22,-59.52,78.8,12.75
506,abu samrah,0,IN,1579921403,34,24.6,72.7,60.93,6.13
507,peniche,75,PT,1579921403,100,39.36,-9.38,51.01,10.29
508,bayan,73,CN,1579921403,73,46.08,127.4,0.75,2.82
509,butembo,72,CD,1579921403,52,0.15,29.28,64.45,4.23
510,ibra,98,OM,1579921404,82,22.69,58.53,64.4,0.98
511,irituia,98,BR,1579921386,98,-1.77,-47.44,74.19,2.39
512,nhulunbuy,75,AU,1579921404,70,-12.23,136.77,89.6,17.22
513,kiama,40,AU,1579921404,54,-34.68,150.87,87.01,14.99
514,mabai,97,CN,1579921404,83,23.01,104.45,59.11,2.59
515,xuzhou,99,CN,1579921404,42,34.18,117.16,41.72,8.28
516,gold coast,90,US,1579921404,93,35.79,-81.76,44.01,4.21
517,metro,95,ID,1579921405,78,-5.11,105.31,83.1,11.56
518,mugur-aksy,3,RU,1579921405,69,50.35,90.5,-0.98,8.08
519,anito,2,PH,1579921405,81,12.45,125.29,81.48,17.43
520,clermont,90,FR,1579921405,78,49.5,2.42,33.8,3.62
521,jinchang,0,CN,1579921405,42,38.5,102.17,24.19,2.44
522,khasan,10,RU,1579921405,62,42.43,130.64,19.78,3.31
523,hafizabad,88,PK,1579921405,35,32.07,73.69,52.68,2.3
524,gombong,98,ID,1579921186,59,-7.61,109.51,89.87,2.66
525,tautira,40,PF,1579921272,66,-17.73,-149.15,87.8,13.87
526,mahanoro,100,MG,1579921406,71,-19.9,48.8,79.75,16.64
527,kaeo,0,NZ,1579921406,61,-35.1,173.78,82.0,8.99
528,coahuayana,20,MX,1579921406,88,18.73,-103.68,69.8,11.41
529,itarema,84,BR,1579921406,88,-2.92,-39.92,76.77,4.56
530,iquitos,40,PE,1579921253,94,-3.75,-73.25,77.0,2.24
531,chernyshevskiy,100,RU,1579921407,98,63.01,112.47,-11.6,7.4
532,avera,90,US,1579921407,93,33.19,-82.53,57.2,3.36
533,carutapera,90,BR,1579921407,80,-1.2,-46.02,82.76,14.09
534,rio verde de mato grosso,75,GR,1579921385,93,38.3,21.78,50.0,3.36
535,amapa,62,BR,1579921407,99,1.0,-52.0,72.7,3.02
536,revnice,90,CZ,1579921407,86,49.91,14.24,30.99,5.82
537,lazaro cardenas,78,DO,1579921407,81,19.46,-71.33,72.0,2.44
538,filadelfia,1,US,1579921121,60,39.95,-75.16,45.0,8.05
539,kamaishi,20,JP,1579921407,43,39.27,141.88,35.6,14.99
540,tortoli,5,IT,1579921408,76,39.93,9.66,51.8,9.17
541,gasa,75,PS,1579921408,81,31.5,34.47,44.6,4.7
542,havre-saint-pierre,1,CA,1579921399,76,50.23,-63.6,-4.0,2.24
543,kharan,73,PK,1579921408,82,28.58,65.42,55.58,0.45
544,smithers,90,CA,1579921408,86,54.78,-127.17,37.4,6.93
545,ugra,96,RU,1579921408,91,54.78,34.33,33.93,10.38
